,What is your gender?,What age bracket are you in?,Are you pursuing an undergraduate or graduate degree?,Are you a domestic or international student?,Are you a full-time or part-time student?,What is your year of study?,What program are you currently enrolled in?,What university are you attending?,Did you own a computer/laptop for online learning during the pandemic?,How did you access your course material during the pandemic?,What online communication services did you use during the pandemic?,Was it easy to adapt to new learning communication services during the online learning?,Was the communication clear and helpful about the pandemic provided by the university?,Did you have a quiet and safe place to study during the pandemic?,How do you describe online learning compared to in-person learning?,Were you motivated during online learning to attend or stay in class?,Where did you spend most of your time studying during the pandemic?,Did you manage your time more effectively and efficiently compared to in-person?,How much effort did you put into online learning compared to in-person during the pandemic?,Did the university provide you with tutoring services during the pandemic?,Did the professors post the recorded lectures during the pandemic?,Was it easy to learn from recorded lectures compare to in-person?,Did the professor provide you with flexible hours to work on your coursework during the pandemic?,Did the professors conduct virtual office hours and were they easy to access during the pandemic?,Was it easy to communicate with your professors during online learning?,Were you comfortable communicating and expressing your opinion with the professors during online learning/office hours?,Did your professor give you enough time to discuss course material during online learning?,Did you have a good relationship with your professor compared to in-person during the online learning environment?,Did the professor use the online technology provided efficiently during the online learning?,Did you change your degree or field of specialization during the pandemic?,Did you lose opportunities in terms of research/internship during the pandemic?,Was it easy to use the services of the academic advising/student services during the pandemic?,"When the university opened back (hybrid learning), were you forced to withdraw from certain courses due to the proof of vaccination directive?",Did you have access to services such as sports centres or extracurriculars during the pandemic?,Were you forced to delay your graduation because of the pandemic?,Did you require extra time for exams/tests/quizzes compared to in-person learning?,Was the grading scale for exams/quizzes/tests fair in online learning compared to in- person?,Did you feel your grade were lower compared to in-person learning?,Did the professor communicate clear exam instructions?,Were you concerned about your personal data during online proctoring?,Do you think you received the same quality of education compared to in-person learning?,Did you feel the course load was heavy during the online learning?,Did you receive feedback on time for your coursework compared to in-person?,How difficult was it to balance school and personal life during the pandemic?,How do you describe your relationship with your peers during online learning?,Was online learning more stressful than in-person learning?,Did you suffer from anxiety or depression during the pandemic?,Did you have access to mental health services from the university during the pandemic?,Were you concerned about your social and emotional health during the pandemic?,Did you face financial difficulty during the pandemic?,What do you think is the best learning process after the pandemic?,Are you concerned with online learning environment having an impact entering the job market?,"If other, please specify below"
130,Male,23-26,Undergraduate Degree,Domestic,Full time,Year 3,Bachelor of Arts,Carleton University,Yes,Blackboard,Microsoft Team,Moderate,Yes,Yes,Difficult to focus,Similar to in-person learning,Friends Home,Similar to in-person,Less effort than in-person learning,Yes,Few professors posted recorded lectures,Yes,Time spent on coursework was similar to in-person learning,Yes,Easy,Occassionally,Time was similar to in-person learning,Yes,Yes,Planning on switching,Opportunities were delayed,Yes,Yes,Yes,No,Sometimes,Similar to in-person,Yes,Instructions were somewhat clear,Extremelty concerned,Quality of education was similar to in-person,Yes,Occasionally,Moderate,Good,Moderately stressful,Sometimes,Sometimes because of limited hours,Extremely concerned,Somtimes,Online,Moderately concerned,NIL
131,Male,23-26,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Commerce,Ontario Tech University,Yes,Blackboard,Zoom,Difficult,Somewhat Clear,Yes,Difficult to focus,Yes,Home,Similar to in-person,Same effort as in-person learning,Yes,Few professors posted recorded lectures,Learning curve was similar to in-person learning,Yes,Yes,Easy,Occassionally,Sometimes,Similar relationship as in-person learning,Yes,Yes,Opportunities were delayed,Yes,No,Yes,Yes,Yes,Similar to in-person,Grades were similar to in-person learning,Instructions were somewhat clear,Moderately concerned,Quality of education was similar to in-person,Yes,Occasionally,Moderate,Fair,Extremely stressful,Sometimes,Sometimes because of limited hours,Somewhat concerned,Somtimes,Online,Moderately concerned,NIL
132,Male,23-26,Undergraduate Degree,Domestic,Full time,Year 3,Bachelor of Arts,Carleton University,Yes,D2L,Google Meet,Moderate,Somewhat Clear,Sometimes,Easy to focus,Similar to in-person learning,Home,Similar to in-person,Less effort than in-person learning,Had some difficulty accesssing tutoring services,Yes,Yes,Time spent on coursework was similar to in-person learning,Yes,Easy,Occassionally,Sometimes,Similar relationship as in-person learning,Yes,Yes,Opportunities were delayed,Did not use the services,Yes,NIL,No,Yes,Similar to in-person,Yes,Instructions were somewhat clear,Moderately concerned,Quality of education was similar to in-person,Yes,Occasionally,Moderate,Good,Moderately stressful,Rarely,Sometimes because of limited hours,Extremely concerned,Somtimes,Online,Moderately concerned,NIL
133,Female,23-26,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Engineering,Brock University,Yes,Blackboard,Google Meet,Easy,Somewhat Clear,Sometimes,Difficult to focus,Yes,Home,Yes,Same effort as in-person learning,Had some difficulty accesssing tutoring services,Yes,Yes,Time spent on coursework was similar to in-person learning,Sometimes had difficulty accessing office hours,Easy,Occassionally,Sometimes,Similar relationship as in-person learning,Yes,Yes,Opportunities were delayed,Yes,Yes,No,Yes,Sometimes,Too strict,Grades were similar to in-person learning,Instructions were somewhat clear,Extremelty concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Fair,Moderately stressful,Rarely,Sometimes because of limited hours,Extremely concerned,Somtimes,Online,Moderately concerned,NIL
134,Female,23-26,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Arts,University of Toronto,Yes,D2L,Google Meet,Difficult,Yes,Yes,Difficult to focus,Yes,Campus,No,Greater effort than in-person learning,Yes,Yes,Yes,Yes,Yes,Easy,Everytime,Sometimes,Similar relationship as in-person learning,Yes,Planning on switching,Opportunities were delayed,Yes,Yes,Yes,No,Yes,Similar to in-person,Yes,Yes,Moderately concerned,Quality of education was similar to in-person,Yes,Occasionally,Moderate,Good,Moderately stressful,Rarely,Sometimes because of limited hours,Somewhat concerned,Yes,Online,Extremely concerned,NIL
135,Male,30-34,Undergraduate Degree,Domestic,Full time,Year 3,Bachelor of Arts,University of Toronto,Yes,Blackboard,Google Meet,Moderate,Yes,Yes,Easy to focus,Yes,Campus,Yes,Same effort as in-person learning,Yes,Yes,Yes,Yes,Yes,Sometimes,Everytime,Always,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Similar to in-person,Yes,Yes,Moderately concerned,Yes,Course load was comparable to in-person,Occasionally,Moderate,Excellent,Moderately stressful,Sometimes,Yes,Somewhat concerned,Somtimes,Online,Moderately concerned,NIL
136,Female,23-26,Undergraduate Degree,International Student,Part time,Year 2,Bachelor of Science,Queen's University,Yes,Blackboard,Microsoft Team,Easy,Somewhat Clear,Yes,Difficult to focus,Similar to in-person learning,Campus,Similar to in-person,Greater effort than in-person learning,Had some difficulty accesssing tutoring services,Few professors posted recorded lectures,No,Time spent on coursework was similar to in-person learning,Sometimes had difficulty accessing office hours,Sometimes,Everytime,Always,Similar relationship as in-person learning,Professor had some difficulty,Planning on switching,Yes,Did not use the services,Yes,Yes,Yes,Sometimes,Similar to in-person,Grades were similar to in-person learning,Instructions were somewhat clear,Moderately concerned,No,Yes,Everytime,Easy,Good,Not at all stressful,Rarely,Sometimes because of limited hours,Extremely concerned,Somtimes,Online,Moderately concerned,NIL
137,Male,23-26,Undergraduate Degree,Domestic,Part time,Year 5,Bachelor of Arts,University of Waterloo,Yes,Other,Google Meet,Moderate,Somewhat Clear,Yes,Difficult to focus,No,Campus,Yes,Same effort as in-person learning,Had some difficulty accesssing tutoring services,Yes,Yes,Time spent on coursework was similar to in-person learning,Yes,Easy,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,No,Opportunities were delayed,Yes,Yes,Yes,Yes,Sometimes,Similar to in-person,Grades were similar to in-person learning,Instructions were somewhat clear,Moderately concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Good,Not at all stressful,Rarely,Sometimes because of limited hours,Somewhat concerned,Somtimes,Online,Extremely concerned,NIL
138,Male,18-22,Graduate Degree,Domestic,Full time,Year 4,Bachelor of Commerce,Lakehead University,No,D2L,Google Meet,Moderate,Yes,Sometimes,Easy to focus,Yes,Campus,Yes,Greater effort than in-person learning,Yes,Yes,Yes,Time spent on coursework was similar to in-person learning,Sometimes had difficulty accessing office hours,Sometimes,Everytime,Sometimes,Similar relationship as in-person learning,Yes,Yes,Opportunities were delayed,Yes,No,No,Yes,Yes,Similar to in-person,Yes,Yes,Moderately concerned,Yes,Course load was comparable to in-person,Everytime,Moderate,Good,Similar to in-person learning,Often,Sometimes because of limited hours,Somewhat concerned,Somtimes,In-person,Moderately concerned,NIL
139,Male,18-22,Graduate Degree,Domestic,Full time,Year 4,Bachelor of Engineering,Queen's University,No,Moodle,Google Meet,Moderate,Yes,Sometimes,Easy to focus,Similar to in-person learning,Campus,Similar to in-person,Greater effort than in-person learning,Yes,Yes,Yes,Yes,Yes,Easy,Occassionally,Always,Similar relationship as in-person learning,Yes,Yes,Opportunities were delayed,Yes,No,No,No,Sometimes,Similar to in-person,Yes,Yes,Not at all concerned,Yes,Course load was comparable to in-person,Occasionally,Moderate,Good,Not at all stressful,Sometimes,Yes,Extremely concerned,Somtimes,Online,Moderately concerned,NIL
140,Male,18-22,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Commerce,Trent University,No,Moodle,Microsoft Team,Easy,Somewhat Clear,Yes,Difficult to focus,Similar to in-person learning,Library,Yes,Less effort than in-person learning,No,Yes,Yes,Yes,Sometimes had difficulty accessing office hours,Easy,Everytime,Sometimes,Yes,Yes,Planning on switching,Opportunities were delayed,Yes,Yes,No,No,Sometimes,Too strict,Grades were similar to in-person learning,Yes,Not at all concerned,Yes,Course load was comparable to in-person,Occasionally,Moderate,Excellent,Not at all stressful,Sometimes,Sometimes because of limited hours,Somewhat concerned,Somtimes,Online,Extremely concerned,NIL
141,Male,18-22,Graduate Degree,Domestic,Full time,Year 3,Bachelor of Arts,Wilfrid Laurier University,No,Canvas,Zoom,Moderate,Somewhat Clear,Sometimes,Easy to focus,Similar to in-person learning,Library,Similar to in-person,Greater effort than in-person learning,Had some difficulty accesssing tutoring services,Yes,Learning curve was similar to in-person learning,Time spent on coursework was similar to in-person learning,Yes,Sometimes,Occassionally,Always,Yes,Yes,Yes,Opportunities were delayed,Yes,Yes,No,Yes,Sometimes,Too strict,Grades were similar to in-person learning,Instructions were somewhat clear,Not at all concerned,Yes,Course load was comparable to in-person,Occasionally,Easy,Good,Similar to in-person learning,Rarely,Sometimes because of limited hours,Extremely concerned,Yes,Online,Moderately concerned,NIL
142,Male,18-22,Graduate Degree,Domestic,Full time,Year 4,Bachelor of Engineering,University of Waterloo,No,D2L,Zoom,Easy,Yes,Sometimes,Easy to focus,Yes,Friends Home,Similar to in-person,Less effort than in-person learning,Had some difficulty accesssing tutoring services,Yes,Yes,Yes,Yes,Easy,Occassionally,Always,Yes,Yes,Planning on switching,Opportunities were delayed,Yes,Yes,No,Yes,Sometimes,Similar to in-person,Yes,Yes,Moderately concerned,Yes,Course load was comparable to in-person,Everytime,Easy,Excellent,Moderately stressful,Often,Yes,Extremely concerned,Yes,Online,Extremely concerned,NIL
143,Male,27-30,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Science,Carleton University,Yes,Moodle,Google Meet,Easy,Somewhat Clear,Yes,Difficult to focus,Yes,Home,Similar to in-person,Same effort as in-person learning,Had some difficulty accesssing tutoring services,Few professors posted recorded lectures,Learning curve was similar to in-person learning,Time spent on coursework was similar to in-person learning,Sometimes had difficulty accessing office hours,Easy,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Too strict,Grades were similar to in-person learning,Instructions were somewhat clear,Moderately concerned,Yes,Course load was comparable to in-person,Occasionally,Moderate,Good,Moderately stressful,Rarely,Sometimes because of limited hours,Somewhat concerned,Yes,In-person,Moderately concerned,NIL
144,Male,27-30,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Arts,University of Guelph,Yes,Blackboard,Google Meet,Easy,Yes,Sometimes,Difficult to focus,Yes,Campus,Similar to in-person,Same effort as in-person learning,Had some difficulty accesssing tutoring services,Few professors posted recorded lectures,Learning curve was similar to in-person learning,Time spent on coursework was similar to in-person learning,Sometimes had difficulty accessing office hours,Sometimes,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,Yes,Yes,Did not use the services,Yes,Yes,Yes,Sometimes,Similar to in-person,Grades were similar to in-person learning,Instructions were somewhat clear,Moderately concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Good,Moderately stressful,Sometimes,Sometimes because of limited hours,Somewhat concerned,Somtimes,Online,Moderately concerned,NIL
145,Male,27-30,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Arts,Lakehead University,Yes,Blackboard,Google Meet,Moderate,Somewhat Clear,Sometimes,Difficult to focus,Similar to in-person learning,Home,Similar to in-person,Same effort as in-person learning,Had some difficulty accesssing tutoring services,Few professors posted recorded lectures,Learning curve was similar to in-person learning,Time spent on coursework was similar to in-person learning,Sometimes had difficulty accessing office hours,Sometimes,Everytime,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,Planning on switching,Yes,Yes,Yes,Yes,Yes,Yes,Too strict,Grades were similar to in-person learning,Instructions were somewhat clear,Moderately concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Good,Moderately stressful,Rarely,Sometimes because of limited hours,Somewhat concerned,Somtimes,In-person,Moderately concerned,NIL
146,Male,27-30,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Arts,Algoma University,Yes,Blackboard,Google Meet,Moderate,Somewhat Clear,Sometimes,Difficult to focus,Similar to in-person learning,Home,Similar to in-person,Same effort as in-person learning,Had some difficulty accesssing tutoring services,Few professors posted recorded lectures,Learning curve was similar to in-person learning,Time spent on coursework was similar to in-person learning,Sometimes had difficulty accessing office hours,Sometimes,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,Planning on switching,Opportunities were delayed,Yes,Yes,Yes,Yes,Sometimes,Similar to in-person,Grades were similar to in-person learning,Instructions were somewhat clear,Moderately concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Good,Moderately stressful,Rarely,Sometimes because of limited hours,Somewhat concerned,Somtimes,In-person,Moderately concerned,NIL
147,Male,27-30,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Science,University of Guelph,Yes,Blackboard,Google Meet,Easy,Somewhat Clear,Sometimes,Difficult to focus,Similar to in-person learning,Home,Similar to in-person,Same effort as in-person learning,Had some difficulty accesssing tutoring services,Few professors posted recorded lectures,Learning curve was similar to in-person learning,Time spent on coursework was similar to in-person learning,Sometimes had difficulty accessing office hours,Sometimes,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Similar to in-person,Grades were similar to in-person learning,Instructions were somewhat clear,Moderately concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Good,Moderately stressful,Rarely,Sometimes because of limited hours,Somewhat concerned,Yes,In-person,Extremely concerned,NIL
148,Male,27-30,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Commerce,Lakehead University,Yes,Moodle,Google Meet,Moderate,Somewhat Clear,Yes,Difficult to focus,Similar to in-person learning,Campus,Yes,Less effort than in-person learning,Had some difficulty accesssing tutoring services,Yes,Yes,Time spent on coursework was similar to in-person learning,Sometimes had difficulty accessing office hours,Sometimes,Everytime,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,Planning on switching,Opportunities were delayed,Did not use the services,Yes,Yes,Yes,Yes,Similar to in-person,Yes,Instructions were somewhat clear,Moderately concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Good,Moderately stressful,Rarely,Sometimes because of limited hours,Somewhat concerned,Somtimes,Online,Extremely concerned,NIL
149,Male,18-22,Undergraduate Degree,Domestic,Full time,Year 3,Bachelor of Arts,Algoma University,Yes,Blackboard,Microsoft Team,Moderate,Somewhat Clear,Yes,Difficult to focus,No,Home,Yes,Same effort as in-person learning,Yes,Yes,Yes,Yes,Yes,Sometimes,Occassionally,Sometimes,Similar relationship as in-person learning,Yes,No,Opportunities were delayed,Yes,No,No,Yes,Sometimes,Similar to in-person,Grades were similar to in-person learning,Yes,Not at all concerned,Quality of education was similar to in-person,No,Everytime,Difficult,Fair,Similar to in-person learning,Rarely,Sometimes because of limited hours,Somewhat concerned,Somtimes,In-person,Moderately concerned,NIL
150,Female,18-22,Graduate Degree,Domestic,Full time,Year 2,Bachelor of Engineering,University of Toronto,Yes,Canvas,Microsoft Team,Moderate,Yes,Sometimes,Difficult to focus,No,Home,Yes,Greater effort than in-person learning,Yes,Yes,Learning curve was similar to in-person learning,Yes,Yes,Sometimes,Everytime,Sometimes,Yes,Professor had some difficulty,Planning on switching,Opportunities were delayed,Did not use the services,Yes,No,Yes,Yes,Similar to in-person,No,Yes,Moderately concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Everytime,Difficult,Good,Similar to in-person learning,Rarely,Sometimes because of limited hours,Not at all concerned,Somtimes,In-person,Moderately concerned,NIL
151,Male,18-22,Undergraduate Degree,Domestic,Full time,Year 3,Bachelor of Engineering,McMaster University,Yes,D2L,Microsoft Team,Moderate,Somewhat Clear,Yes,Difficult to focus,No,Home,Similar to in-person,Same effort as in-person learning,Yes,Yes,Yes,Yes,Yes,Sometimes,Occassionally,Sometimes,Similar relationship as in-person learning,Yes,No,Opportunities were delayed,Yes,No,No,Yes,Sometimes,Similar to in-person,Grades were similar to in-person learning,Yes,Not at all concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Everytime,Moderate,Fair,Similar to in-person learning,Rarely,Sometimes because of limited hours,Somewhat concerned,Somtimes,In-person,Moderately concerned,NIL
152,Male,18-22,Graduate Degree,Domestic,Full time,Year 2,Bachelor of Engineering,Algoma University,Yes,Blackboard,Microsoft Team,Moderate,Somewhat Clear,Yes,Difficult to focus,Yes,Home,Similar to in-person,Same effort as in-person learning,Yes,Yes,Learning curve was similar to in-person learning,Time spent on coursework was similar to in-person learning,Yes,Sometimes,Occassionally,Sometimes,Similar relationship as in-person learning,Yes,No,Opportunities were delayed,No,No,No,Yes,Sometimes,Similar to in-person,Grades were similar to in-person learning,Yes,Moderately concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Everytime,Moderate,Fair,Similar to in-person learning,Rarely,Sometimes because of limited hours,Not at all concerned,Somtimes,In-person,Extremely concerned,NIL
